Date,Open,High,Low,Close,Adj Close,Volume
2009-04-17,5.646500,5.671100,5.597900,5.608600,5.608600,0
2009-04-20,5.614300,5.628900,5.492400,5.498500,5.498500,0
2009-04-21,5.500200,5.529000,5.450100,5.524800,5.524800,0
2009-04-22,5.524500,5.526600,5.464100,5.507900,5.507900,0
2009-04-23,5.507100,5.560500,5.493800,5.523300,5.523300,0
2009-04-24,5.523700,5.655000,5.510800,5.646700,5.646700,0
2009-04-27,5.645500,5.654100,5.586500,5.639100,5.639100,0
2009-04-28,5.635700,5.648100,5.542300,5.551300,5.551300,0
2009-04-29,5.549900,5.689300,5.545800,5.680000,5.680000,0
2009-04-30,5.682200,5.735600,5.679300,5.703000,5.703000,0
2009-05-01,5.700400,5.703500,5.588500,5.617600,5.617600,0
2009-05-04,5.624700,5.789300,5.615800,5.781600,5.781600,0
2009-05-05,5.781300,5.826400,5.777200,5.818800,5.818800,0
2009-05-06,5.821100,5.835400,5.751100,5.830900,5.830900,0
2009-05-07,5.829900,5.851300,5.795300,5.820900,5.820900,0
2009-05-08,5.819700,5.893600,5.814900,5.858700,5.858700,0
2009-05-11,5.706700,5.930000,5.694400,5.860900,5.860900,0
2009-05-12,5.860600,5.897100,5.827600,5.861400,5.861400,0
2009-05-13,5.859800,5.890200,5.791700,5.805800,5.805800,0
2009-05-14,5.804000,5.831600,5.780500,5.806600,5.806600,0
2009-05-15,5.806000,5.846400,5.781000,5.822100,5.822100,0
2009-05-18,5.700900,5.862300,5.698800,5.837000,5.837000,0
2009-05-19,5.838700,5.897700,5.765800,5.885200,5.885200,0
2009-05-20,5.885400,5.973300,5.878900,5.961300,5.961300,0
2009-05-21,5.963200,5.980700,5.914100,5.931900,5.931900,0
2009-05-22,5.931900,6.085600,5.920900,6.082900,6.082900,0
2009-05-25,6.060300,6.066600,5.926600,6.057100,6.057100,0
2009-05-26,6.055600,6.114200,6.000800,6.110600,6.110600,0
2009-05-27,6.110400,6.135600,6.094200,6.116800,6.116800,0
2009-05-28,6.114700,6.132000,6.053900,6.117000,6.117000,0
2009-05-29,6.116500,6.247800,6.104200,6.235000,6.235000,0
2009-06-01,6.252800,6.270700,6.217100,6.231800,6.231800,0
2009-06-02,6.231400,6.313200,6.211600,6.281900,6.281900,0
2009-06-03,6.281400,6.311100,6.138300,6.153500,6.153500,0
2009-06-04,6.153700,6.227700,6.113400,6.211400,6.211400,0
2009-06-05,6.210900,6.221700,6.096400,6.097500,6.097500,0
2009-06-08,6.074800,6.107500,6.040300,6.105000,6.105000,0
2009-06-09,6.098700,6.210700,6.094700,6.153500,6.153500,0
2009-06-10,6.153100,6.230700,6.123900,6.149800,6.149800,0
2009-06-11,6.150800,6.217500,6.146100,6.181200,6.181200,0
2009-06-12,6.182900,6.184700,6.064100,6.119500,6.119500,0
2009-06-15,6.117700,6.123200,5.998200,6.024000,6.024000,0
2009-06-16,6.025500,6.074800,5.999700,6.031800,6.031800,0
2009-06-17,6.033400,6.050200,5.961700,5.987100,5.987100,0
2009-06-18,5.985200,6.066400,5.860100,6.052200,6.052200,0
2009-06-19,6.049800,6.063300,6.004400,6.035800,6.035800,0
2009-06-22,6.041500,6.044600,5.900800,5.913700,5.913700,0
2009-06-23,5.909200,5.945700,5.892700,5.908900,5.908900,0
2009-06-24,5.909200,5.970200,5.770100,5.930400,5.930400,0
2009-06-25,5.929200,5.931100,5.837100,5.885800,5.885800,0
2009-06-26,5.885300,5.955700,5.874600,5.915400,5.915400,0
2009-06-29,5.903400,5.922900,5.876900,5.881300,5.881300,0
2009-06-30,5.880200,5.923500,5.856000,5.858200,5.858200,0
2009-07-01,5.857800,5.959500,5.783900,5.952500,5.952500,0
2009-07-02,5.954100,5.959100,5.791400,5.881800,5.881800,0
2009-07-03,5.883100,5.898300,5.860400,5.896700,5.896700,0
2009-07-06,5.877100,5.883600,5.839700,5.862500,5.862500,0
2009-07-07,5.861800,5.906900,5.859100,5.866900,5.866900,0
2009-07-08,5.865700,5.887600,5.816700,5.832800,5.832800,0
2009-07-09,5.832100,5.900700,5.831400,5.871500,5.871500,0
2009-07-10,5.870400,5.898500,5.742600,5.856500,5.856500,0
2009-07-13,5.851100,5.923300,5.841400,5.917800,5.917800,0
2009-07-14,5.918200,6.027600,5.836400,6.016800,6.016800,0
2009-07-15,6.016400,6.131500,6.007300,6.114000,6.114000,0
2009-07-16,6.113600,6.123200,6.074500,6.085200,6.085200,0
2009-07-17,6.084800,6.129700,6.082500,6.125400,6.125400,0
2009-07-20,6.154600,6.157000,6.152300,6.155000,6.155000,0
2009-07-21,6.157500,6.163300,6.156700,6.161400,6.161400,0
2009-07-22,6.198800,6.201300,6.197800,6.199300,6.199300,0
2009-07-23,6.303900,6.313300,6.303900,6.307600,6.307600,0
2009-07-24,6.267800,6.267800,6.267800,6.267800,6.267800,0
2009-07-27,6.293500,6.296800,6.292300,6.294300,6.294300,0
2009-07-28,6.296200,6.303600,6.295800,6.299100,6.299100,0
2009-07-29,6.254500,6.257400,6.250900,6.253700,6.253700,0
2009-07-30,6.283900,6.287200,6.281800,6.286000,6.286000,0
2009-07-31,6.331600,6.331600,6.331600,6.331600,6.331600,0
2009-08-03,6.393800,6.398300,6.392600,6.398000,6.398000,0
2009-08-04,6.356700,6.367900,6.355100,6.363300,6.363300,0
2009-08-05,6.361200,6.365300,6.358300,6.358700,6.358700,0
2009-08-06,6.324200,6.326600,6.322200,6.322500,6.322500,0
2009-08-07,6.306500,6.306500,6.306500,6.306500,6.306500,0
2009-08-10,6.267700,6.271400,6.267300,6.270600,6.270600,0
2009-08-11,6.191800,6.197900,6.189200,6.197900,6.197900,0
2009-08-12,6.264300,6.265200,6.259500,6.259500,6.259500,0
2009-08-13,6.272300,6.275600,6.269900,6.275600,6.275600,0
2009-08-14,6.215200,6.215200,6.215200,6.215200,6.215200,0
2009-08-17,6.162600,6.162600,6.157200,6.161400,6.161400,0
2009-08-18,6.186600,6.187000,6.176700,6.178100,6.178100,0
2009-08-19,6.242100,6.242100,6.235300,6.239200,6.239200,0
